##BEG header separator=,
Start Date,Wed Mar 11 01:35:23 2015
End Date,Wed Mar 11 01:35:23 2015
Duration,0.005766,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
R00001,PARALLEL,main.c,41,42,
R00002,PARALLEL,main.c,180,208,
LOCK,9
R00005,LOCK,
R00006,LOCK,
R00007,LOCK,
R00008,LOCK,
R00009,LOCK,
R00010,LOCK,
R00011,LOCK,
R00012,LOCK,
R00013,LOCK,
##END region overview

##BEG ompp callgraph
Inclusive,(%),Exclusive,(%)
0.005766,100.0,0.000466,8.083523,0,[unknown: 8 threads]
0.000220,3.816415,0.000220,3.816415,1,R00001,PARALLEL,main.c,41,42,
0.005080,88.100062,0.005080,88.100062,1,R00002,PARALLEL,main.c,180,208,
##END ompp callgraph

##BEG flat region profiles
##BEG R00001 flat profile
R00001,PARALLEL,main.c,41,42,
TID,execT,execC,bodyT,exitBarT,startupT,shutdwnT,taskT
0,0.000218,1,0.000003,0.000007,0.000202,0.000005,0.000000
1,0.000218,1,0.000003,0.000010,0.000200,0.000004,0.000000
2,0.000218,1,0.000003,0.000011,0.000200,0.000003,0.000000
3,0.000218,1,0.000002,0.000009,0.000202,0.000004,0.000000
4,0.000218,1,0.000002,0.000012,0.000200,0.000003,0.000000
5,0.000218,1,0.000003,0.000010,0.000201,0.000003,0.000000
6,0.000218,1,0.000002,0.000012,0.000200,0.000003,0.000000
7,0.000218,1,0.000003,0.000010,0.000201,0.000004,0.000000
SUM,0.001743,8,0.000020,0.000081,0.001606,0.000029,0.000000
##END R00001 flat profile

##BEG R00005 flat profile
R00005,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.003892,105,0.000431,0.003381,0.000079
1,0.003983,97,0.000407,0.003500,0.000077
2,0.003948,95,0.000396,0.003482,0.000070
3,0.003132,179,0.000755,0.002259,0.000117
4,0.003782,91,0.000420,0.003291,0.000071
5,0.003201,165,0.000672,0.002416,0.000114
6,0.003883,92,0.000397,0.003418,0.000068
7,0.003140,168,0.000671,0.002348,0.000121
SUM,0.028961,992,0.004148,0.024096,0.000717
##END R00005 flat profile

##BEG R00006 flat profile
R00006,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000640,90,0.000390,0.000206,0.000044
1,0.000619,84,0.000375,0.000193,0.000050
2,0.000610,84,0.000379,0.000181,0.000050
3,0.001178,160,0.000694,0.000382,0.000102
4,0.000683,89,0.000419,0.000199,0.000066
5,0.001070,145,0.000640,0.000340,0.000090
6,0.000628,79,0.000376,0.000184,0.000068
7,0.001080,143,0.000653,0.000330,0.000097
SUM,0.006507,874,0.003926,0.002015,0.000567
##END R00006 flat profile

##BEG R00007 flat profile
R00007,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000439,74,0.000314,0.000075,0.000050
1,0.000412,69,0.000296,0.000064,0.000052
2,0.000428,72,0.000303,0.000076,0.000049
3,0.000765,130,0.000545,0.000139,0.000081
4,0.000506,80,0.000365,0.000084,0.000057
5,0.000731,121,0.000518,0.000139,0.000074
6,0.000444,74,0.000332,0.000069,0.000043
7,0.000778,129,0.000538,0.000161,0.000079
SUM,0.004503,749,0.003210,0.000808,0.000485
##END R00007 flat profile

##BEG R00008 flat profile
R00008,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000370,65,0.000272,0.000062,0.000037
1,0.000337,55,0.000242,0.000053,0.000042
2,0.000343,60,0.000258,0.000047,0.000038
3,0.000595,105,0.000438,0.000093,0.000064
4,0.000412,68,0.000303,0.000062,0.000046
5,0.000584,102,0.000423,0.000088,0.000073
6,0.000376,64,0.000273,0.000057,0.000046
7,0.000596,105,0.000431,0.000094,0.000071
SUM,0.003613,624,0.002640,0.000555,0.000418
##END R00008 flat profile

##BEG R00009 flat profile
R00009,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000263,54,0.000199,0.000031,0.000032
1,0.000245,47,0.000187,0.000022,0.000035
2,0.000239,46,0.000188,0.000023,0.000029
3,0.000413,82,0.000308,0.000058,0.000047
4,0.000286,53,0.000212,0.000037,0.000036
5,0.000425,82,0.000312,0.000062,0.000051
6,0.000264,52,0.000198,0.000033,0.000033
7,0.000426,83,0.000315,0.000051,0.000060
SUM,0.002560,499,0.001919,0.000317,0.000324
##END R00009 flat profile

##BEG R00010 flat profile
