##BEG header separator=,
Start Date,Wed Mar 11 01:35:24 2015
End Date,Wed Mar 11 01:35:24 2015
Duration,0.093860,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
R00001,PARALLEL,main.c,41,42,
R00002,PARALLEL,main.c,180,208,
LOCK,9
R00005,LOCK,
R00006,LOCK,
R00007,LOCK,
R00008,LOCK,
R00009,LOCK,
R00010,LOCK,
R00011,LOCK,
R00012,LOCK,
R00013,LOCK,
##END region overview

##BEG ompp callgraph
Inclusive,(%),Exclusive,(%)
0.093860,100.0,0.000645,0.687112,0,[unknown: 8 threads]
0.000240,0.255793,0.000240,0.255793,1,R00001,PARALLEL,main.c,41,42,
0.092975,99.057095,0.092975,99.057095,1,R00002,PARALLEL,main.c,180,208,
##END ompp callgraph

##BEG flat region profiles
##BEG R00001 flat profile
R00001,PARALLEL,main.c,41,42,
TID,execT,execC,bodyT,exitBarT,startupT,shutdwnT,taskT
0,0.000236,1,0.000002,0.000017,0.000211,0.000005,0.000000
1,0.000236,1,0.000003,0.000019,0.000210,0.000003,0.000000
2,0.000236,1,0.000003,0.000019,0.000210,0.000003,0.000000
3,0.000236,1,0.000003,0.000019,0.000210,0.000004,0.000000
4,0.000236,1,0.000003,0.000020,0.000210,0.000003,0.000000
5,0.000236,1,0.000003,0.000014,0.000209,0.000009,0.000000
6,0.000236,1,0.000003,0.000018,0.000209,0.000005,0.000000
7,0.000236,1,0.000002,0.000021,0.000209,0.000004,0.000000
SUM,0.001888,8,0.000021,0.000148,0.001678,0.000036,0.000000
##END R00001 flat profile

##BEG R00005 flat profile
R00005,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.063086,968,0.008884,0.053632,0.000570
1,0.066170,931,0.008090,0.057501,0.000579
2,0.063330,1043,0.009093,0.053616,0.000622
3,0.048256,1681,0.014488,0.032725,0.001043
4,0.066331,944,0.008219,0.057532,0.000580
5,0.048441,1744,0.014628,0.032665,0.001148
6,0.067490,922,0.007901,0.058959,0.000630
7,0.049577,1571,0.013716,0.034775,0.001086
SUM,0.472681,9804,0.085018,0.381404,0.006259
##END R00005 flat profile

##BEG R00006 flat profile
R00006,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.011702,886,0.008287,0.002750,0.000665
1,0.010542,825,0.007496,0.002399,0.000647
2,0.011911,927,0.008404,0.002883,0.000625
3,0.019248,1505,0.013325,0.004893,0.001029
4,0.010746,846,0.007704,0.002443,0.000599
5,0.019390,1535,0.013457,0.004949,0.000984
6,0.010274,822,0.007387,0.002329,0.000558
7,0.018237,1403,0.012756,0.004558,0.000922
SUM,0.112049,8749,0.078815,0.027203,0.006031
##END R00006 flat profile

##BEG R00007 flat profile
R00007,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.008763,794,0.007547,0.000765,0.000452
1,0.007798,712,0.006747,0.000637,0.000414
2,0.008806,803,0.007486,0.000826,0.000494
3,0.013804,1288,0.011568,0.001489,0.000747
4,0.007948,718,0.006739,0.000683,0.000526
5,0.013813,1277,0.011441,0.001579,0.000793
6,0.007613,692,0.006478,0.000619,0.000516
7,0.013243,1215,0.010974,0.001407,0.000862
SUM,0.081788,7499,0.068979,0.008004,0.004805
##END R00007 flat profile

##BEG R00008 flat profile
R00008,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.007044,671,0.006175,0.000433,0.000436
1,0.006237,592,0.005437,0.000378,0.000422
2,0.007049,686,0.006176,0.000442,0.000431
3,0.010696,1046,0.009297,0.000808,0.000591
4,0.006336,597,0.005637,0.000346,0.000353
5,0.010808,1063,0.009357,0.000871,0.000581
6,0.006060,576,0.005363,0.000367,0.000330
7,0.010520,1018,0.009227,0.000755,0.000538
SUM,0.064750,6249,0.056668,0.004401,0.003682
##END R00008 flat profile

##BEG R00009 flat profile
R00009,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.005545,553,0.004866,0.000296,0.000384
1,0.004936,489,0.004321,0.000276,0.000338
2,0.005492,547,0.004761,0.000350,0.000382
3,0.008028,819,0.007001,0.000468,0.000559
4,0.004844,486,0.004195,0.000297,0.000352
5,0.008030,829,0.006880,0.000589,0.000561
6,0.004527,461,0.003929,0.000289,0.000309
7,0.007897,815,0.006831,0.000523,0.000543
SUM,0.049301,4999,0.042784,0.003088,0.003429
