##BEG header separator=,
Start Date,Wed Mar 11 01:35:23 2015
End Date,Wed Mar 11 01:35:23 2015
Duration,0.001155,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
3,0.000020,5,0.000015,0.000003,0.000002
4,0.000010,2,0.000007,0.000001,0.000002
5,0.000021,4,0.000014,0.000005,0.000003
6,0.000015,3,0.000009,0.000003,0.000003
7,0.000023,5,0.000017,0.000004,0.000002
SUM,0.000129,27,0.000087,0.000022,0.000020
##END R00011 flat profile

##BEG R00012 flat profile
R00012,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000004,1,0.000003,0.000000,0.000001
1,0.000011,3,0.000005,0.000003,0.000003
2,0.000006,2,0.000003,0.000001,0.000002
3,0.000007,2,0.000004,0.000002,0.000001
4,0.000004,1,0.000003,0.000001,0.000000
5,0.000010,2,0.000007,0.000001,0.000002
6,0.000003,1,0.000003,0.000000,0.000000
7,0.000014,3,0.000007,0.000005,0.000002
SUM,0.000059,15,0.000035,0.000013,0.000011
##END R00012 flat profile

##BEG R00013 flat profile
R00013,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000000,0,0.000000,0.000000,0.000000
1,0.000003,1,0.000001,0.000001,0.000001
2,0.000000,0,0.000000,0.000000,0.000000
3,0.000000,0,0.000000,0.000000,0.000000
4,0.000000,0,0.000000,0.000000,0.000000
5,0.000005,1,0.000003,0.000001,0.000001
6,0.000000,0,0.000000,0.000000,0.000000
7,0.000003,1,0.000001,0.000001,0.000001
SUM,0.000011,3,0.000005,0.000003,0.000003
##END R00013 flat profile

##BEG R00002 flat profile
R00002,PARALLEL,main.c,180,208,
TID,execT,execC,bodyT,exitBarT,startupT,shutdwnT,taskT
0,0.000456,1,0.000443,0.000002,0.000005,0.000005,0.000000
1,0.000456,1,0.000436,0.000010,0.000004,0.000004,0.000000
2,0.000456,1,0.000442,0.000003,0.000005,0.000004,0.000000
3,0.000456,1,0.000433,0.000012,0.000005,0.000005,0.000000
4,0.000456,1,0.000439,0.000007,0.000005,0.000004,0.000000
5,0.000456,1,0.000441,0.000004,0.000005,0.000005,0.000000
6,0.000456,1,0.000439,0.000007,0.000005,0.000004,0.000000
7,0.000456,1,0.000437,0.000009,0.000005,0.000004,0.000000
SUM,0.003649,8,0.003510,0.000055,0.000039,0.000035,0.000000
##END R00002 flat profile

##END flat region profiles

##BEG callgraph region profiles
##BEG R00001 callgraph profile
[*00],unknown
[=01],R00001,PARALLEL,main.c,41,42,
TID,execT,execC,bodyT/I,bodyT/E,exitBarT,startupT,shutdwnT,taskT
0,0.000263,1,0.000004,0.000004,0.000007,0.000232,0.000007,0.000000
1,0.000263,1,0.000002,0.000002,0.000010,0.000231,0.000007,0.000000
2,0.000263,1,0.000002,0.000002,0.000010,0.000231,0.000003,0.000000
3,0.000263,1,0.000005,0.000005,0.000006,0.000232,0.000008,0.000000
4,0.000263,1,0.000003,0.000003,0.000009,0.000231,0.000013,0.000000
5,0.000263,1,0.000003,0.000003,0.000008,0.000232,0.000003,0.000000
6,0.000263,1,0.000002,0.000002,0.000010,0.000231,0.000007,0.000000
7,0.000263,1,0.000004,0.000004,0.000007,0.000232,0.000002,0.000000
SUM,0.002104,8,0.000025,0.000025,0.000067,0.001852,0.000049,0.000000
##END R00001 callgraph profile

##BEG R00002 callgraph profile
[*00],unknown
[=01],R00002,PARALLEL,main.c,180,208,
TID,execT,execC,bodyT/I,bodyT/E,exitBarT,startupT,shutdwnT,taskT
0,0.000455,1,0.000445,0.000445,0.000001,0.000003,0.000005,0.000000
1,0.000455,1,0.000436,0.000436,0.000011,0.000003,0.000003,0.000000
2,0.000455,1,0.000444,0.000444,0.000003,0.000003,0.000004,0.000000
3,0.000455,1,0.000435,0.000435,0.000012,0.000003,0.000004,0.000000
4,0.000455,1,0.000440,0.000440,0.000007,0.000003,0.000003,0.000000
5,0.000455,1,0.000443,0.000443,0.000003,0.000003,0.000005,0.000000
