##BEG header separator=,
Start Date,Wed Mar 11 01:35:30 2015
End Date,Wed Mar 11 01:35:32 2015
Duration,1.611133,sec
Application Name,unknown
Type of Report,final
Thread Count,8
ompP Version Major,0
ompP Version Minor,8
ompP Version Revision,99
ompP Build Date,Nov 16 2014 11:48:18
PAPI Support,available
Max Counters,4
PAPI Active,no
Used Counters,0
OMPP_CTR1,not set
OMPP_CTR2,not set
OMPP_CTR3,not set
OMPP_CTR4,not set
Max Evaluators,4
Used Evaluators,0
OMPP_EVAL1,not set
OMPP_EVAL2,not set
OMPP_EVAL3,not set
OMPP_EVAL4,not set
##END header
##BEG region overview
PARALLEL,2
0,0.021283,1233,0.019845,0.000746,0.000692
1,0.021779,1278,0.020284,0.000776,0.000719
2,0.021965,1301,0.020460,0.000781,0.000724
3,0.034104,1998,0.031799,0.001132,0.001173
4,0.023816,1392,0.022141,0.000813,0.000862
5,0.033831,1999,0.031509,0.001112,0.001209
6,0.022265,1325,0.020775,0.000785,0.000705
7,0.033440,1973,0.031005,0.001232,0.001203
SUM,0.212484,12499,0.197818,0.007377,0.007288
##END R00011 flat profile

##BEG R00012 flat profile
R00012,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.006479,631,0.005717,0.000369,0.000393
1,0.006543,638,0.005770,0.000368,0.000405
2,0.006557,637,0.005824,0.000370,0.000363
3,0.010446,1006,0.009263,0.000590,0.000593
4,0.007259,694,0.006379,0.000371,0.000509
5,0.010627,1011,0.009267,0.000609,0.000751
6,0.006549,645,0.005757,0.000378,0.000414
7,0.010358,987,0.009032,0.000597,0.000729
SUM,0.064817,6249,0.057008,0.003652,0.004157
##END R00012 flat profile

##BEG R00013 flat profile
R00013,LOCK,
TID,execT,execC,bodyT,enterT,exitT
0,0.000000,0,0.000000,0.000000,0.000000
1,0.000000,0,0.000000,0.000000,0.000000
2,0.000000,0,0.000000,0.000000,0.000000
3,0.000000,0,0.000000,0.000000,0.000000
4,0.000000,0,0.000000,0.000000,0.000000
5,0.000000,0,0.000000,0.000000,0.000000
6,0.000000,0,0.000000,0.000000,0.000000
